G(~a ),true,(G (~ a)),True,100.0,100.0,100.0,3.7272560000000006
G(~a ),F(b),(G b),True,100.0,100.0,100.0,3.805700999999999
F(b) -> (~a U b),true,(b U (~ b)),True,100.0,100.0,100.0,3.326271999999996
F(b) -> (~a U b),(~a U b),(G (~ b)),True,100.0,100.0,100.0,3.7019319999999993
G(b -> G(~a)),true,(G ((F a) -> a)),True,100.0,100.0,100.0,7.033478000000002
G(b -> G(~a)),G(a),(G a),True,100.0,100.0,100.0,3.75685399999999
F(a),true,(F a),True,100.0,100.0,100.0,3.155528999999987
G(~a | F(a & F(b))),true,(~ (F a)),True,100.0,100.0,100.0,3.4168249999999887
G(a & (~b -> (~b U(c & ~b)))) ,true,false,True,100.0,100.0,100.0,3.0790240000000004
G(a & (~b -> (~b U(c & ~b)))) ,true,false,True,100.0,100.0,100.0,3.075596000000001
G(a),true,(G a),True,100.0,100.0,100.0,3.358680999999997
F(b) -> (a U b),true,true,True,100.0,100.0,100.0,3.044754000000001
G(b -> G(a)),true,(~ (F b)),True,100.0,100.0,100.0,3.809976000000006
